????,????,???????,????,????1,????2,????,????,?????,?????,???????,???????,??????,????????
???????,9.5,??????,?????,????????,????????,????????,316.47,125.6,2180.6,??1542??  ??????,2022-11-29 22:20:11,1542,https://www.qimao.com/shuku/195958/
???????,9.0,??????,?????,????????,???ß⁄???,??????,307.85,66.6,2271,??1417??  ??ß≥???????,2022-11-30 13:19:11,1417,https://www.qimao.com/shuku/215780/
???????,9.5,??????,?????,???,??????,????,246.49,39.9,1587,??1185??  ?°§?????,2022-11-29 23:18:27,1185,https://www.qimao.com/shuku/215169/
?????????????,9.4,??????,?????,????????,???ß⁄???,ß≥??,275.25,25.6,919.4,??1058??  ?????,2022-11-29 18:42:09,1058,https://www.qimao.com/shuku/211057/
????????,9.2,??????,?????,???????,????????,?¯[,539.81,24.8,558.2,??2496??  ??????,2022-11-29 20:24:18,2496,https://www.qimao.com/shuku/215086/
???¡G??,9.2,??????,?????,???????,????????,???,260.14,19.7,467,??1151??  ???????????,2022-11-29 21:04:08,1151,https://www.qimao.com/shuku/213189/
??????,9.4,??????,?????,???????,????????,??????,579.94,18.4,651.9,??2720??  ????,2022-11-29 22:15:22,2721,https://www.qimao.com/shuku/213092/
??????????????????,9.2,??????,?????,????????,???ßµ?,???????,251.38,18.4,847.1,??1139??  ??????????,2022-11-29 23:21:10,1139,https://www.qimao.com/shuku/214789/
???????????,9.5,??????,?????,????????,????????,???,277.73,16.0,364.8,??1295??  ??????,2022-11-30 17:54:09,1295,https://www.qimao.com/shuku/207963/
????????,9.2,??????,?????,???????,?????,ß≥???,295.62,15.1,610,??915??  ??????????,2022-11-29 16:49:08,915,https://www.qimao.com/shuku/213103/
????????,9.1,??????,?????,???????,????????,??????,531.88,15.0,898.1,??2272??  ???????????,2022-11-30 14:12:18,2272,https://www.qimao.com/shuku/149769/
??????,9.0,???,?????,????????,????????,???,437.23,14.1,342.7,??1953??  ????????,2022-08-31 22:20:13,1953,https://www.qimao.com/shuku/213692/
????????,9.2,??????,?????,???????,????????,?????,222,13.5,438,??957??  ??????????????,2022-11-29 22:17:08,957,https://www.qimao.com/shuku/215874/
????????????,9.0,??????,?????,????????,???ß⁄???,???????,113.28,13.0,69.7,??506??  ???????,2022-11-29 23:57:08,506,https://www.qimao.com/shuku/1648170/
??????????,9.1,??????,?????,???,???¶≤??,?????,618.67,12.4,1055.1,??2083??  ????????,2022-11-29 23:15:17,2083,https://www.qimao.com/shuku/151762/
????????,8.6,??????,?????,????????,???ß⁄???,??????,370.62,12.2,313.4,??1144??  ????????????,2022-11-30 11:22:11,1144,https://www.qimao.com/shuku/214505/
???????èU???,9.2,??????,?????,???,??????,???????,189.11,10.6,196.5,??919??  ????????????,2022-11-30 12:11:09,920,https://www.qimao.com/shuku/1648167/
?????????,8.9,??????,?????,????????,???ß⁄???,???,151.94,9.9,252,??741??  ???¶ı??,2022-11-29 18:16:06,741,https://www.qimao.com/shuku/221894/
???????,9.4,??????,?????,???????,????????,???,318.27,9.8,169.9,??1331??  ?????????,2022-11-30 16:55:10,1331,https://www.qimao.com/shuku/216404/
???????,9.1,??????,?????,????????,???ß⁄???,????,124.07,8.8,82.6,??574??  ???????,2022-11-30 00:57:05,574,https://www.qimao.com/shuku/220828/
??????,9.2,??????,?????,???????,????????,???????,35.1,0.9,9.5,??170??  ????????,2022-11-29 20:35:02,170,https://www.qimao.com/shuku/1667835/
???????????????????????????,8.8,??????,?????,????????,????????,????????,46.22,0.9,3.5,??222??  ßπ??????,2022-11-30 16:13:03,222,https://www.qimao.com/shuku/1666831/
