书名,评分,是否连载,签约状态,分类1,分类2,作者,字数,阅读数,人气值,更新张节,更新时间,总章数,详情页地址
武逆九千界,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,虚尘,536.36,19.1,543.3,第2480章  恐怖青年,2022-11-25 12:01:57,2480,https://www.qimao.com/shuku/215086/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,577.91,18.5,647,第2710章  我不喜欢这口,2022-11-24 23:08:21,2710,https://www.qimao.com/shuku/213092/
九天斩神诀,8.9,连载中,签约作品,玄幻奇幻,异界大陆,小知了,292.97,15.3,604.3,第910章  山河殿前,2022-11-24 19:39:08,910,https://www.qimao.com/shuku/213103/
开局截胡五虎上将,9.2,连载中,签约作品,历史,穿越历史,孔明很愁,185.03,10.4,192.5,第899章  肚中英才,2022-11-25 12:11:08,899,https://www.qimao.com/shuku/1648167/
荒古武神,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,化十,313.85,10.1,166.5,第1312章  青云域,2022-11-24 17:04:10,1312,https://www.qimao.com/shuku/216404/
万古龙帝,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,拓跋流云,699.11,7.7,367.4,第1947章  风行宗，白骨祭坛！,2022-11-25 13:46:16,1947,https://www.qimao.com/shuku/210771/
鸿蒙霸体诀,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,鱼初见,86.71,7.5,44,第271章  布局如神，错算一步,2022-11-24 23:16:36,271,https://www.qimao.com/shuku/1655407/
极道剑尊,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,人间又污秽了,247.33,6.4,138.6,第982章  我此举，只为两位哥哥的脸面！,2022-11-25 09:04:08,982,https://www.qimao.com/shuku/219040/
九狼图,9.4,连载中,签约作品,科幻,末世危机,纯银耳坠,388.12,5.6,188.1,第1283章  辛苦经营,2022-11-25 08:02:11,1283,https://www.qimao.com/shuku/216055/
天道至尊,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,笑笑书生,137.37,4.9,14.7,第646章  爆冷,2022-11-24 11:46:06,646,https://www.qimao.com/shuku/211529/
剑镇诸天,9.3,连载中,签约作品,玄幻奇幻,东方玄幻,沐潇三生,213.05,4.8,275.1,第992章  南家覆灭,2022-11-24 21:39:08,992,https://www.qimao.com/shuku/214501/
万界邪尊,9.3,连载中,签约作品,玄幻奇幻,东方玄幻,子莫谦,177.43,4.7,70.8,第826章  徐青,2022-11-25 00:39:08,826,https://www.qimao.com/shuku/215163/
我能采集万物,9.2,连载中,签约作品,科幻,末世危机,存叶,266.1,4.5,618.6,第1006章  冰川之下的天空,2022-11-24 21:07:08,1006,https://www.qimao.com/shuku/209898/
网游之全服公敌,9.3,连载中,签约作品,游戏,虚拟网游,黑白相间,144.59,4.4,174.6,第628章  财神求助,2022-11-24 17:05:06,628,https://www.qimao.com/shuku/221137/
至尊剑帝,9.1,连载中,签约作品,玄幻奇幻,东方玄幻,一丝凉意,394.13,4.3,148.5,第1796章  刘四刀,2022-11-24 21:53:14,1796,https://www.qimao.com/shuku/215157/
极品小侯爷,8.9,完结,签约作品,历史,架空历史,梦入山河,267.22,4.2,324.9,第1310章  落下帷幕,2022-10-25 22:48:10,1310,https://www.qimao.com/shuku/208898/
葬天神帝,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,我爱弹棉花,184.02,4.0,319.4,第775章  未雨绸缪，最后的团圆饭！,2022-11-25 00:27:07,775,https://www.qimao.com/shuku/213697/
