Superbia,2023-01-21 09:23:02,女儿的寻人能力甩FBI几条街
一只出格君,2023-01-20 09:10:03,没有第一部那么新颖了，也不像第一部那样纯靠主角抽丝剥茧探寻真相，故事甚至有点狗血。除了电脑屏幕外，这一部加了很多例如监控，手机屏幕，手表屏幕的内容。其中最大的bug大概就是Google客服在电话上交出账号的明文密码。
格兰芬多,2023-03-08 22:29:01,苹果这些年的努力随着一声Hey Siri直接赢麻了。
王俊俊,2023-03-08 22:13:01,妈妈的唠叨里，藏着母爱的密码；珍贵的回忆里，暴怒父亲被剪辑。你找到了匹配率97%的网络交友，实际上是情感诈骗犯。你挑选了8美元1小时的跑腿大叔，难逢一遇的热心肠好人。人生所有细节都被上传云端，海量的信息涌入，最终不过图一句，爱你妈妈。
ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•,2023-03-08 03:13:42,女律师我真的瞬间飙泪……想到了一些学法初心……
顗礼,2023-02-03 10:27:12,成熟得可怕，勉强算是为连年生产垃圾的好莱坞工业挽尊了（？）桌面电影大概率不是电影的未来，但这种高效且富有巧思的对应用程序与多媒体视角的展现绝对能给其它传统电影以启发
toishiki,2023-01-20 11:09:29,小赞达亚找妈妈。storm怎么老接禁毒宣传片啊！！！哥伦比亚大哥Javi全场最佳！！！美洲西语国家的人工费真得太良心了。
Ignition,2023-01-30 10:27:33,节奏非常棒，就是总觉得在大银幕看Instagram截屏很亏！
dianaaoi18,2023-03-08 21:31:24,我怎么会怀疑妈妈 我真该死 妇女节快乐！（苹果打钱
原小北,2023-01-20 08:15:36,这部电影可以看作是网络搜索和反搜索的教程片。熟练使用Google以及其他各类专业app，居家旅行必备技能。
失去梦想的柴犬,2023-01-22 04:59:15,太喵的好看了，简直是带点悬疑解谜thriller的典范，设定节奏感剧情完全不输于第一部的程度，整个编写突然到节点高能然后又陷于dead end。看的我贼清醒，而且最主要的是，很合理，太有脑子了，OMG这哪怕是🍎软广我也认了好吧，强无敌
