标题,内容,时间
黔南州老年大学到学院开展教学交流座谈会,5月16日上午，黔南州老年大学校长李华一行赴学院就开展座谈交流。学院党委副书记韦永革及相关部门负责人参加座谈。座谈会由党委委员、组织部（人事处）部长（处长）犹琴主持。李华校长一行实地参观建筑室内设计协同创新中心，黔南州装备制造协同创新中心，比例实体建筑...,2023/5/17
段班权副院长带队开展访企拓岗促就业专项活动 ,为积极响应教育部、省教育厅“高校书记校长访企拓岗促就业”专项行动要求，4月26日上午，学院党委委员、副院长段班权带队赴广东深圳格创东智科技有限公司走访调研，宣传推介毕业生，主动搭建校企合作桥梁。汽车工程系系主任万东操参加。在企业人员的带领下，调研团一行...,2023/4/27
技能竞赛展风采 切磋技艺诉匠心——2023年贵州省职业院校师生技能大赛暨全国职业院校技能大赛选拔赛在我院开赛,4月14日，由省教育厅、省人力资源和社会保障厅主办，我院承办的2023年贵州省职业院校师生技能大赛暨全国职业院校技能大赛选拔赛开赛。...,2023/4/14
刘荣鹏赴贵阳开展“高校书记校长访企拓岗”活动,刘荣鹏赴贵阳开展“高校书记校长访企拓岗”活动为贯彻落实全国、全省2023届高校毕业生就业创业工作安排部署，3月27日，学院院长刘荣鹏一行赴贵阳贵安新区开展“高校书记校长访企拓岗促就业”活动。在贵阳市人大常委会党组成员、副主任卓飞带领下，刘荣鹏一行实地走访了...,2023/3/29
学院举办春季学期防范网络电信诈骗专题讲座,为进一步增强学生防范电信网络诈骗的意识和技能，保护自身财产安全，3月2日，学院邀请都匀市公安局绿茵湖派出所所长刘忠才、片区民警莫小龙等一行四人到校，为320余名各系师生代表举办了一场“防范电信网络诈骗”专题讲座。莫小龙从什么是电信网络诈骗、诈骗的手段和方...,2023/3/3
学院主要领导“国庆节”首日检查疫情防控和安全稳定工作,10月1日，时值“国庆节”假期首日，学院党委书记罗俊，党委副书记、院长刘荣鹏，副院长王焱、张金华，党委委员、组织部（人事处）部长（处长）犹琴，深入校园检查疫情防控、安全稳定、值班值守等情况，并向坚守在岗位一线的教职员工和在校学生等致以节日的问候和祝福...,2022/10/1
学院亮相广博会，展示婳意新风采,8月26日，由广州市人民政府主办的中外经贸合作大型综合性展会——第30届广州博览会（简称“广博会”）在中国进出口交易会展馆开幕。黔南民族职业技术学院建筑工程与设计系创客中心的婳意艺术工作室，受黔南州妇女民族手工业协会邀请，作为黔南州“星青年”非遗文创产品...,2022/9/5
访企拓岗促就业 看望学生情暖人心 ——刘荣鹏院长率队走访调研企业,...,2022/7/27
梦起黔之南 | 黔南州人社局致2022届高校毕业生的一封信,亲爱的2022届毕业生们：又是毕业季，扬帆正当时。在你们扬帆人生第一个“黄金十年”的美好时刻，黔南州人力资源和社会保障局向你们致以诚挚的祝贺和良好的祝愿！就业创业，是你们逐梦青春、成就未来的起点。州委、州政府高度关注你们的成长成才，高度重视你们的就业创业...,2022/7/7
深化政校企合作  打造共育就业品牌,为聚焦“四新”主攻“四化”战略和“五个新黔南”建设提供人力支撑，把更稳定就业、更充分就业、更优质就业作为最大民生抓紧抓实抓好，6月23日，黔南州2022届毕业生金牌就业行动启动仪式在我院举行。启动仪式上，就黔南大中专毕业生就业创业服务、岗位推荐、技能提升及...,2022/6/24
学院举行“6·14 信用记录关爱日”诚信校园征信知识宣传活动,"为增强学生诚信意识，维护个人征信意识和普及金融知识，全方位的对受助学生育品行、长知识、增能力、树信心、解困难、助就业，实现资助育人服务、学院立德树人的办学目标，6月14日,我院与中国人民银行黔南州中心支行联合开展了“6.14信用记录关爱日”诚信校园征信知识宣...",2022/6/15
学院举办端午系列活动,为进一步弘扬优秀传统文化，传承中华传统美德，厚植学生爱国情怀，由思政部、管理系主办、学院“七里香烹饪协会”社团承办的“端午忆屈原-学文化、读经典、包粽子”传统文化教育主题活动于5月25-28日举行。5月25日至27日，思政部教师滕晓梅和退休教师黄云霞利用课余时间...,2022/5/29
我院师生参加2022金砖国家职业技能大赛启动赛之Web技术赛项线上国际训练营,2022年5月14日-20日，学院组织大数据与电子商务系系师生参加了的2022金砖国家职业技能大赛启动赛之Web技术赛项线上国际训练营，一同参加训练营的还有来自金砖国家的其他47支参赛队伍。此次比赛由中华人民共和国教育部、中华人民共和国人力资源和社会保障部、金砖国家工...,2022/5/22
张金华副院长为全院学生干部作新国发2号文件专题讲座,为让广大学生干部进一步全面了解、准确把握《国务院关于支持贵州在新时代西部大开发上闯新路的意见》（国发〔2022〕2号）文件精神实质和深刻内涵，深刻认识党中央对贵州的厚爱，坚定投身贵州建设的决心和信心，5月10日下午，由思政部、学生处和院团委共同主办，张金华副...,2022/5/11
面对新任务  适应新要求  提高新标准,"4月21日上午，在第二个贵州“人才日”到来之际,学院党委领导到院机关五支部宣布相关人事任命和部分岗位调整事宜，并对今后工作开展提出明确要求。学院党委书记罗俊、副书记韦永革、纪委书记胡成林、副院长王焱、组织（人事）部（处）长段班权出席会议,会议由副院长王焱...",2022/4/22
学院发展，感谢有你,4月8日下午，知行楼第二会议室祝福满满、笑语盈盈，学院党委为1-4月退休教职工举行光荣退休仪式。院党委书记罗俊，党委副书记、院长刘荣鹏，副书记韦永革，党委委员、组织部长段班权出席仪式，相关部门负责人参加。会议由党委副书记韦永革主持，院党委领导为退休职工颁...,2022/4/9
罗俊书记率队到贵州理工学院 开展合作调研,3月15日上午，学院党委书记罗俊率队到贵州理工学院开展合作调研。罗俊书记一行先后考察了该校酿酒实验室、机械工程实训中心和创新创业中心，了解校企合作、实践教学和创新创业工作情况。在合作交流座谈会上，双方校领导分别介绍了本校专业设置、师资队伍及人才培养的优...,2022/3/16
黔南民族职业技术学院2022年元旦致辞,老师们、同学们：<?xml:namespace prefix = o />新年好！新故相推，日生不滞。奋斗者不舍昼夜，追梦人步伐坚定。转眼间，2021年已经过去，我们迎来了崭新的2022年。值此辞旧迎新之际，我们代表学院党委、行政向辛勤耕耘在教育教学和管理服务工作岗位上的全体教职工，向...,2022/1/1
