标题,大小,地点,小区,价格
整租·天通苑·天通苑本四区·2室,2  室  1  厅  ·  74㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                天通苑                 ","
                    天通苑本四区                ",5100
整租·枣园·清源西里·2室,2  室  1  厅  ·  45㎡  ·  南  ·  低楼层/6层  ·  简装,"
                枣园                 ","
                    清源西里                ",3500
整租·十里堡·京棉新城（一厂）·2室,2  室  1  厅  ·  97㎡  ·  南  ·  低楼层/30层  ·  简装,"
                十里堡                 ","
                    京棉新城（一厂）                ",6100
整租·四惠·通惠家园惠民园·2室,2  室  1  厅  ·  88㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                四惠                 ","
                    通惠家园惠民园                ",6800
整租·甘露园·天天朝阳·1室,1  室  1  厅  ·  38㎡  ·  西  ·  低楼层/16层  ·  简装,"
                甘露园                 ","
                    天天朝阳                ",4600
整租·甘露园·康家园·2室,2  室  1  厅  ·  62㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                甘露园                 ","
                    康家园                ",5300
整租·团结湖·团结湖北三条·1室,1  室  1  厅  ·  40㎡  ·  南  ·  低楼层/6层  ·  简装,"
                团结湖                 ","
                    团结湖北三条                ",5100
整租·通州北苑·长城国际·1室,1  室  1  厅  ·  48㎡  ·  东  ·  高楼层/20层  ·  简装,"
                通州北苑                 ","
                    长城国际                ",3450
整租·天通苑·天通苑本五区·2室,2  室  1  厅  ·  78㎡  ·  南北  ·  中楼层/6层  ·  简装,"
                天通苑                 ","
                    天通苑本五区                ",5700
整租·北京南站·右外东庄·1室,1  室  1  厅  ·  39㎡  ·  南  ·  高楼层/6层  ·  简装,"
                北京南站                 ","
                    右外东庄                ",4100
整租·石佛营·八里庄北里·2室,2  室  1  厅  ·  49㎡  ·  南  ·  高楼层/6层  ·  简装,"
                石佛营                 ","
                    八里庄北里                ",5300
整租·西坝河·西坝河东里·2室,2  室  1  厅  ·  65㎡  ·  南  ·  高楼层/24层  ·  简装,"
                西坝河                 ","
                    西坝河东里                ",6900
整租·芍药居·芍药居北里二区·1室,1  室  1  厅  ·  58㎡  ·  西北  ·  低楼层/24层  ·  简装,"
                芍药居                 ","
                    芍药居北里二区                ",5500
整租·石佛营·炫特嘉园二期·1室,1  室  1  厅  ·  40㎡  ·  北  ·  低楼层/28层  ·  简装,"
                石佛营                 ","
                    炫特嘉园二期                ",4900
整租·定福庄·妇联小区·2室,2  室  1  厅  ·  71㎡  ·  南北  ·  高楼层/6层  ·  简装,"
                定福庄                 ","
                    妇联小区                ",4400
整租·七里庄·庄维花园一期·2室,2  室  1  厅  ·  80㎡  ·  北  ·  中楼层/24层  ·  简装,"
                七里庄                 ","
                    庄维花园一期                ",5496
整租·蒲黄榆·南三环中路15号院·2室,2  室  1  厅  ·  53㎡  ·  东南  ·  中楼层/6层  ·  简装,"
                蒲黄榆                 ","
                    南三环中路15号院                ",4850
整租·梨园·新通国际花园·2室,2  室  1  厅  ·  61㎡  ·  东  ·  低楼层/18层  ·  简装,"
                梨园                 ","
                    新通国际花园                ",4200
整租·定福庄·福盈家园2号院·2室,2  室  1  厅  ·  51㎡  ·  南北  ·  低楼层/20层  ·  简装,"
                定福庄                 ","
                    福盈家园2号院                ",5000
整租·石佛营·炫特嘉园三期·1室,1  室  1  厅  ·  40㎡  ·  北  ·  低楼层/27层  ·  简装,"
                石佛营                 ","
                    炫特嘉园三期                ",5200
整租·西罗园·西罗园一区·1室,1  室  1  厅  ·  44㎡  ·  南  ·  高楼层/6层  ·  简装,"
                西罗园                 ","
                    西罗园一区                ",4300
整租·安贞·安华里一区·2室,2  室  1  厅  ·  57㎡  ·  东西  ·  高楼层/6层  ·  简装,"
                安贞                 ","
                    安华里一区                ",6500
整租·回龙观·国仕汇·2室,2  室  1  厅  ·  79㎡  ·  东西  ·  中楼层/15层  ·  简装,"
                回龙观                 ","
                    国仕汇                ",5225
整租·角门·角门东里·1室,1  室  1  厅  ·  38㎡  ·  西南  ·  高楼层/6层  ·  简装,"
                角门                 ","
                    角门东里                ",4100
