书名,评分,是否连载,签约状态,分类1,分类2,作者,字数,阅读数,人气值,更新张节,更新时间,总章数,详情页地址
盖世神医,9.5,连载中,签约作品,都市人生,都市修仙,狐颜乱语,318.53,121.7,2194.6,第1552章  老圣人！,2022-12-04 20:20:14,1552,https://www.qimao.com/shuku/195958/
绝世强龙,9.0,连载中,签约作品,都市人生,都市高手,张龙虎,311.08,62.9,2286,第1432章  夕阳醉了,2022-12-05 10:19:11,1432,https://www.qimao.com/shuku/215780/
寒门枭士,9.3,连载中,签约作品,历史,架空历史,北川,248.56,36.8,1599.5,第1195章  盯死,2022-12-04 23:47:10,1195,https://www.qimao.com/shuku/215169/
我有七个无敌师父,9.4,连载中,签约作品,都市人生,都市高手,小骨,276.27,23.5,922.9,第1063章  施展魂咒，各方来临！,2022-12-04 23:48:08,1063,https://www.qimao.com/shuku/211057/
混沌剑帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,运也,262.25,19.0,471.1,第1161章  不如坐化！,2022-12-04 18:24:46,1161,https://www.qimao.com/shuku/213189/
武逆九千界,9.2,连载中,签约作品,玄幻奇幻,东方玄幻,虚尘,546.63,18.4,564.8,第2528章  诸天降临，大劫开启,2022-12-04 20:53:19,2528,https://www.qimao.com/shuku/215086/
我和软萌女友的恋爱日常,9.2,连载中,签约作品,都市人生,热血校园,佛系和尚,253.51,18.2,849.8,第1148章  我嫁的可是叶凡！,2022-12-05 00:23:14,1148,https://www.qimao.com/shuku/214789/
九天斩神诀,8.9,连载中,签约作品,玄幻奇幻,异界大陆,小知了,298.27,17.4,617.6,第921章  还请拔剑,2022-12-05 16:15:08,921,https://www.qimao.com/shuku/213103/
吞噬古帝,9.4,连载中,签约作品,玄幻奇幻,东方玄幻,黑白仙鹤,582.15,17.2,656.2,第2731章  不退让,2022-12-05 10:51:22,2731,https://www.qimao.com/shuku/213092/
武帝归来,9.0,完结,签约作品,都市人生,都市修仙,修果,437.23,14.1,349.4,第1953章  不当人子,2022-08-31 22:20:13,1953,https://www.qimao.com/shuku/213692/
九阳武神,9.1,连载中,签约作品,玄幻奇幻,东方玄幻,我吃面包,533.53,14.1,899.3,第2280章  心魔,2022-12-04 22:42:18,2280,https://www.qimao.com/shuku/149769/
我的师傅是妖女,9.5,连载中,签约作品,都市人生,都市修仙,上殿,279.01,13.7,365.4,第1301章  七彩异兽蛋异常,2022-12-04 22:06:11,1301,https://www.qimao.com/shuku/207963/
最强末世进化,9.1,连载中,签约作品,科幻,末世危机,蔡四爷,621.27,12.2,1059.7,第2093章  姜毅闹事,2022-12-04 23:40:17,2093,https://www.qimao.com/shuku/151762/
狂龙弃少,8.6,连载中,签约作品,都市人生,都市高手,十指炫舞,372.81,12.1,316.3,第1154章  任飞龙的震惊,2022-12-05 08:11:25,1154,https://www.qimao.com/shuku/214505/
万古龙帝,8.9,连载中,签约作品,玄幻奇幻,东方玄幻,拓跋流云,709.4,11.8,380,第1964章  他的身份不可能有问题！,2022-12-05 08:57:15,1964,https://www.qimao.com/shuku/210771/
