书名,评分,是否连载,签约状态,分类1,分类2,作者,字数,阅读数,人气值,更新张节,更新时间,总章数
离婚后她惊艳了世界,9.6,连载中,签约作品,现代言情,总裁豪门,明婳,150.06,136.7,1985.4,第554章  激烈狂欢,2022-12-08 08:25:06,554
绝配,9.1,连载中,签约作品,现代言情,总裁豪门,锦筱初,62.35,4.8,15.2,第252章  崩塌，我不想伤害你！,2022-12-08 08:11:08,252
重生七零小辣媳,9.5,连载中,签约作品,现代言情,年代重生,桃三月,166.66,58.3,382.6,第825章  老熟人,2022-12-07 21:35:07,825
重生后，七个兄长跪着求原谅,9.1,连载中,签约作品,古代言情,宫闱宅斗,颜语,62.41,12.5,20.2,第288章  叫上老三，一起去将萧金暖揍一顿！,2022-12-08 09:54:04,288
盖世神医,9.5,连载中,签约作品,都市人生,都市修仙,狐颜乱语,319.74,119.3,2203.8,第1558章  我是杀你的人！,2022-12-07 22:19:12,1558
第一瞳术师,9.7,连载中,签约作品,幻想言情,玄幻仙侠,喵喵大人,214.47,65.1,1436.6,第1025章  快抓住我,2022-12-07 21:09:08,1025
新婚夜，她把植物人老公撩醒了,9.5,完结,签约作品,现代言情,总裁豪门,紫小柒,29.72,16.4,116.3,第144章  番外一 送给宝贝的礼物,2022-09-04 22:53:02,144
神医毒妃不好惹,9.3,完结,签约作品,古代言情,宫闱宅斗,姑苏小七,442.37,34.0,4428,第3498章  幸福大结局,2022-10-10 00:01:41,3498
三年后，她带战神夫君炸翻全京城,9.1,连载中,签约作品,古代言情,古代情缘,玫瑰困了,63.67,3.1,7,第309章  她有何惧,2022-12-08 09:04:04,309
小皇叔腹黑又难缠,9.1,完结,签约作品,古代言情,宫闱宅斗,一碧榶榶,159.44,21.7,708.4,第474章  【番外】她，终于是他的了！,2022-07-07 00:32:04,474
离婚后她惊艳了世界,9.6,连载中,签约作品,现代言情,总裁豪门,明婳,150.06,136.7,1985.4,第554章  激烈狂欢,2022-12-08 08:25:06,554
绝配,9.1,连载中,签约作品,现代言情,总裁豪门,锦筱初,62.35,4.8,15.2,第252章  崩塌，我不想伤害你！,2022-12-08 08:11:08,252
重生七零小辣媳,9.5,连载中,签约作品,现代言情,年代重生,桃三月,166.66,58.3,382.6,第825章  老熟人,2022-12-07 21:35:07,825
重生后，七个兄长跪着求原谅,9.1,连载中,签约作品,古代言情,宫闱宅斗,颜语,62.41,12.5,20.2,第288章  叫上老三，一起去将萧金暖揍一顿！,2022-12-08 09:54:04,288
盖世神医,9.5,连载中,签约作品,都市人生,都市修仙,狐颜乱语,319.74,119.3,2203.8,第1558章  我是杀你的人！,2022-12-07 22:19:12,1558
第一瞳术师,9.7,连载中,签约作品,幻想言情,玄幻仙侠,喵喵大人,214.47,65.1,1436.6,第1025章  快抓住我,2022-12-07 21:09:08,1025
新婚夜，她把植物人老公撩醒了,9.5,完结,签约作品,现代言情,总裁豪门,紫小柒,29.72,16.4,116.3,第144章  番外一 送给宝贝的礼物,2022-09-04 22:53:02,144
神医毒妃不好惹,9.3,完结,签约作品,古代言情,宫闱宅斗,姑苏小七,442.37,34.0,4428,第3498章  幸福大结局,2022-10-10 00:01:41,3498
三年后，她带战神夫君炸翻全京城,9.1,连载中,签约作品,古代言情,古代情缘,玫瑰困了,63.67,3.1,7,第309章  她有何惧,2022-12-08 09:04:04,309
小皇叔腹黑又难缠,9.1,完结,签约作品,古代言情,宫闱宅斗,一碧榶榶,159.44,21.7,708.4,第474章  【番外】她，终于是他的了！,2022-07-07 00:32:04,474
离婚时孕吐，被前夫撞见跪求复婚,9.1,连载中,签约作品,现代言情,总裁豪门,惜惜有鱼,65.29,18.6,49.4,第313章  我建议她去看心理医生,2022-12-08 08:15:03,313
陆少的隐婚罪妻,9.1,连载中,签约作品,现代言情,总裁豪门,白七诺,190.63,56.7,4226,第921章  娃娃亲,2022-12-07 21:54:09,921
和死对头闪婚后真香了,8.7,完结,签约作品,现代言情,总裁豪门,洛小七,91.85,9.9,332.7,第436章  大结局,2022-07-07 18:00:03,436
天命成凰,9.3,连载中,签约作品,古代言情,古代情缘,赵小球,176.96,44.2,1248.9,第940章  未来皇帝的诏书，楚王,2022-12-07 21:01:56,940
秦爷的小作精重生了,9.1,完结,签约作品,现代言情,总裁豪门,有点萌,98.92,8.9,246.4,第270章  大结局,2022-07-01 00:10:02,270
重生后贵妃娘娘只想当咸鱼,9.1,连载中,签约作品,古代言情,宫闱宅斗,芙蕖,59.19,2.7,5.9,第286章  发落，白才人杖毙,2022-12-08 00:14:03,286
