标题,排名,百度预估流量,百度收录,单月收录,谷歌收录,百度反链数,谷歌反链数,360收录,360反链数,搜狗收录,反链数
百度,1,1894.74,221.12,0,331,10000,2150,1460,20,605.51,34.58
腾讯网,2,439.17,8730,5420,8420,10000,14800,10000,10000,511829,85.83
知乎,3,443.09,10000,2620,6130,10000,305,10000,13,209502,2.21
网易,4,218.65,10000,5090,4810,5700,106000,10000,20,166404,35.39
新浪网,5,107.56,8370,3420,12800,3220,2040,10000,10000,387210,41.02
搜狐,6,147.53,8290,9620,7190,5510,719,10000,10000,336293,28.24
豆瓣,7,94.49,9890,495,4200,3580,32200,5080,7830,330940,4.9
爱奇艺,8,101.99,8290,2850,1720,490,1220,10000,10000,90543,2.91
360安全中心,9,19.75,6210,455,185,10000,10300,1420,10000,7783.54,93.71
CSDN,10,133.41,10000,4510,4490,9080,316,10000,20,81583,4422
好搜,11,78.48,10000,3220,1480,10000,-469869184,10000,10000,31763,1.01
哔哩哔哩弹幕视频网,12,329.98,8610,3090,19900,10000,1760,10000,10000,160490,2380
搜狗,13,11.43,10000,251,2040,3260,520,1020,4170,186317,12.42
中关村在线,14,40.79,10000,1790,1020,1880,42.6,8950,9040,162688,7.55
CSDN博客,15,126.91,10000,3900,1380,8160,1010,7960,10000,34742,1123
豆瓣电影,16,58.89,10000,815,558,10000,8760,485,505,65346,2248
阿里巴巴1688,17,33.8,0,10000,1680,9930,8310,10000,13,296553,506.2
新浪微博,18,174.6,10000,748,1850,0,13300,10000,10000,320401,52.67
腾讯视频,19,45.95,8290,1880,2050,5450,4090,10000,10000,73227,1.51
搜狐视频,20,12.64,8840,3400,241,0,96.5,4640,2600,47654,2.87
游侠网,21,21.45,10000,4770,162,1920,16.4,1170,1510,6623.2,3955
太平洋电脑网,22,35.81,6980,4980,397,783,21,3740,9220,56051,6.71
58同城 ,23,16.22,10000,0,233,5240,-259934592,10000,352,265892,12.91
2345网址导航,24,29.97,10000,7630,40.2,681,4220,101,92.9,1115.93,3.24
3DMGAME,25,29.07,10000,0,244,325,34.8,1720,1800,4645.11,952
本地宝,26,19.65,10000,4540,303,448,32.4,812,913,8405.52,1.08
汽车之家,27,23.21,10000,3250,508,309,29.5,0,5730,95673,3.91
酷狗音乐,28,48.33,10000,830,159,0,14.9,1350,2420,9121.42,5.01
京东商城,29,56.97,0,16.3,2670,8150,64700,10000,10000,208990,8.58
携程旅行网,30,28.91,10000,1010,621,190,32.3,3930,4180,50689,6.34
优酷网,31,64.54,0,0,1620,2690,1160,10000,10000,187976,7.9
东方财富网,32,120.85,0,0,1390,291,7.12,10000,10000,82100,4.86
太平洋汽车网,33,14.34,9900,5380,155,302,17.4,7450,10000,31897,3.26
凤凰网,34,19.89,0,1760,2700,1020,56.5,7990,10000,78342,14.45
站长之家,35,24.61,0,3660,95.6,3890,59,6710,6630,32265,4.05
华律网,36,17.56,10000,0,57,10000,5290,7870,7820,23835,2606
买购网,37,47.87,10000,0,7.85,384,38.8,181,252,755.42,1642
喜马拉雅FM,38,9.45,7760,2890,306,0,214,2650,3170,78985,1242
中国天气网,39,28.26,5470,2770,26.5,0,3060,374,332,3058.73,2.12
电视猫,40,42.29,10000,1050,76.3,31.3,4.2,257,153,5120.92,4158
天气网,41,50.7,7450,1760,68.2,1000,1670,1930,1840,12895,1.6
海词词典,42,32.64,1180,44,707,1920,424,823,1100,7136.65,4.46
人民网,43,12.39,7660,2640,2020,3660,50400,4000,10000,15711,9.19
39健康网,44,17.54,10000,6970,107,10000,-554967296,7740,8630,59198,2.9
有问必答网,45,8.82,8900,2680,226,2720,45.1,10000,10000,71972,5860
知乎专栏,46,298.12,7021.3,4610,1340,10000,210,1960,14,10469,93
搜狐新闻,47,14.72,6998.92,10000,119,1880,146,1870,2020,9039.66,3.23
起点中文网,48,22.66,7730.35,4940,105,86.6,9.02,1700,17,40294,3.39
微软必应搜索,49,73.1,1500,0,147,2040,57300,283,329,5852.95,9744
必应,50,61.95,1500,14,5.49,3030,829,207,284,5409.66,7286
苹果官方网站,51,21.62,10000,1050,17900,0,-84967296,10,94,7735.46,8.66
LOFTER,52,8.5,10000,326,50.2,2200,1130,223,586,2522.72,1.34
QQ音乐,53,32.37,10000,614,181,4240,5050,3550,10000,13401,1941
晋江文学城,54,14.6,10000,4600,450,6190,8.69,2380,2580,53016,2772
华图教育官网,55,9.28,3366.2,6810,57.7,689,1.85,1650,2620,13770,6705
IP地址查询,56,18.04,9434.11,5350,147,0,49.5,232,684,12547,3.55
微信公众平台,57,163.07,6783.25,7830,3,10000,99,1,1130,9652.04,2.06
中国日报网,58,2.8,10000,1920,490,0,69.2,632,970,6082.85,1.24
18183,59,14.46,6720,2830,151,3180,164,317,331,5988.31,1576
汉典,60,41.46,741,2,131,876,4.04,187,164,857.41,3713
好大夫在线,61,13.34,7720,211,460,2200,16.3,8810,4480,49431,4400
应届毕业生求职网,62,13.96,670.08,6710,16.7,210,2.93,201,812,351.6,906
蚂蜂窝,63,18.5,10000,1000,698,238,14.9,1270,1160,25903,3694
豌豆荚,64,30.55,6530,6210,77.8,33.1,8.29,583,688,499.57,1793
中学语文教学资源网,65,20.84,10000,6530,125,205,70.1,1270,1380,8253.1,982
电影网,66,18.02,10000,88.9,147,4000,27700,714,16,7351.44,6484
律图,67,7.3,10000,10000,9.61,0,41,8410,8830,28341,572
沪江网,68,17.87,4230,163,528,700,28.3,1210,1080,6990.4,6820
爱词霸,69,32.64,4110,1,15.8,507,5250,12.7,338,6412.32,5752
学习啦,70,9.78,8100,6470,51.3,185,51.5,1100,1600,5254.23,1167
出国留学网,71,12.87,4296.98,5940,122,3110,32.8,1460,1800,5722.54,937
